Date,High,Low,Close,SMA,14 DaysHigh,14 days Min,%K
2/9/23,28.82,27.57,27.73,45276.64286,28.879999,25.120001,-11.61417323
2/10/23,27.99,27.34,27.799999,,28.879999,25.120001,4.191636727
2/13/23,28.549999,27.719999,28.549999,,28.879999,25.120001,8.183632735
2/14/23,28.719999,27.99,28.639999,,28.879999,25.120001,0
2/15/23,28.879999,28.16,28.85,,28.879999,25.120001,-9.181616766
2/16/23,28.83,28.129999,28.200001,,28.83,25.120001,-0.601202405
2/17/23,28.07,27.379999,27.610001,,28.07,25.120001,-13.43281095
2/21/23,27.27,26.040001,26.059999,,27.52,25.120001,-1.965065502
2/22/23,26.9,25.299999,25.469999,,27.52,25.120001,-6.831077705
2/23/23,26.08,25.32,25.610001,,28.1,25.120001,-1.874999219
2/24/23,25.35,24.92,25.139999,,28.5,25.120001,-1.778655775
2/27/23,25.58,24.879999,24.9,,30.27,25.120001,22.45761069
2/28/23,25.120001,24.73,24.93,,31,25.120001,14.61860479
3/1/23,25.92,24.969999,25.33,,31,25.92,0.84743662
3/2/23,26.299999,25.120001,26.200001,,31,25.99,-13.98309618
3/3/23,26.48,26.01,26.4,,31,25.99,-20.97462309
3/6/23,26.540001,25.93,25.99,,31,25.99,-2.77775641
3/7/23,25.99,25.5,25.530001,,31,25.99,0.665210643
3/8/23,26.01,25.450001,25.98,,31,26.01,-3.32594235
3/9/23,26.98,25.969999,26.440001,,31,26.98,-0.886895787
3/10/23,27.52,26.32,27.219999,,31.889999,27.309999,-18.97429796
3/13/23,27.309999,26.610001,26.950001,,32.580002,27.309999,24.56896552
3/14/23,28.1,27.25,28.01,,32.900002,28.1,54.82617761
3/15/23,28.5,27.66,28.41,,33.560001,28.5,68.3333
3/16/23,30.27,28.389999,30.18,,33.84,29.120001,78.6742878
3/17/23,31,29.440001,29.809999,,33.84,29.120001,92.09042596
3/20/23,29.9,28.629999,29.16,,33.84,29.120001,91.52542612
3/21/23,29.17,27.98,28.459999,,33.84,29.120001,83.33330979
3/22/23,29.120001,28.1,28.129999,,33.84,29.120001,78.53099477
3/23/23,29.16,28.219999,29.030001,,33.84,29.16,73.79520295
3/24/23,29.809999,28.93,29.360001,,33.84,29.33,83.38768189
3/27/23,29.73,29.08,29.18,,33.84,29.33,75.57002462
3/28/23,29.33,28.629999,29.290001,,33.84,29.33,83.71334974
3/29/23,31.889999,29.76,31.52,,33.84,31.889999,75.33333333
3/30/23,32.580002,31.809999,32.09,,33.84,31.52,52.66666667
3/31/23,32.900002,31.73,32.669998,,33.84,31.25,43.00003333
4/3/23,33.560001,32.540001,32.889999,,33.84,30.84,24.3333
4/4/23,33.84,32.84,33.099998,,33.84,30.370001,3
4/5/23,32.990002,32.34,32.830002,,33.110001,29.57,-6.340086455
4/6/23,33,32.459999,32.810001,,33.110001,29.57,-1.440951009
4/10/23,32.759998,32.200001,32.52,,33.110001,29.57,21.90204611
4/11/23,33.110001,32.32,32.349998,,33.110001,29.57,56.48412104
4/12/23,32.889999,31.959999,32.02,,32.889999,29.57,45.80150603
4/13/23,32.43,31.65,32.130001,,32.639999,29.57,25.57252884
4/14/23,32.240002,31.690001,31.889999,,32.639999,29.57,59.16032792
4/17/23,32.639999,31.77,32.139999,,32.639999,29.57,81.67942049
4/18/23,32.459999,31.780001,31.83,,32.57,29.57,81.81818182
4/19/23,31.52,31.08,31.15,,32.57,29.57,97.25490088
4/20/23,31.25,30.709999,30.860001,,32.57,29.57,79.03929216
4/21/23,30.84,30.23,30.299999,,32.57,29.57,77.77768519
4/24/23,30.370001,29.610001,29.66,,32.57,29.57,14.25
4/25/23,29.57,28.870001,28.879999,,32.57,29.1,16.5
4/26/23,29.809999,28.84,29.049999,,32.57,29.1,37.74995
4/27/23,29.950001,28.51,29.860001,,32.57,29.1,23.24995
4/28/23,32.57,30.809999,31.059999,,32.57,29.1,14.5
5/1/23,31.24,30.280001,30.299999,,31.719999,29.1,34.749975
5/2/23,30.58,29.75,29.77,,31.719999,29.1,40.999975
5/3/23,31.110001,30.25,30.65,,31.719999,29.1,49.75
5/4/23,31.719999,30.379999,31.24,,31.719999,29.1,24.35128717
5/5/23,31.41,30.73,30.99,,31.41,29.1,12.54415194
5/8/23,30.84,30.389999,30.77,,30.84,28.290001,-12.17512128
5/9/23,30.58,29.91,30.1,,30.58,28.290001,-1.227831167
5/10/23,30.4,29.49,29.969999,,30.450001,28.290001,-0.739659982
5/11/23,29.68,28.82,28.860001,,32.290001,28.290001,1.219512195
5/12/23,29.1,28.719999,28.950001,,32.290001,28.290001,-4.181219512
5/15/23,29.83,28.879999,29.799999,,32.290001,28.290001,-1.04533101
5/16/23,29.9,29.209999,29.219999,,32.290001,28.290001,-26.30662021
5/17/23,29.559999,28.68,28.870001,,32.290001,28.290001,-7.142891986
5/18/23,29.76,28.870001,29.68,,32.290001,28.290001,-1.567944251
5/19/23,30.24,29.5,29.93,,32.290001,28.290001,-0.570342097
5/22/23,30.450001,29.82,30.280001,,32.290001,28.290001,-12.69531002
5/23/23,30.200001,29.49,29.51,,33.299999,28.290001,-4.392817673
5/24/23,29.49,28.82,29,,33.950001,28.290001,17.31261429
5/25/23,28.290001,26.860001,27.4,,35.599998,28.290001,60.4651319
5/26/23,29.09,27.1,29,,36.419998,29.09,74.55619329
5/30/23,30.040001,29,29.99,,36.799999,30.040001,85.4042998
5/31/23,32.290001,29.67,31.440001,,37.110001,31.370001,58.38262327
6/1/23,31.940001,31.02,31.129999,,37.110001,31.370001,28.57148078
6/2/23,31.59,30.83,31.309999,,37.110001,31.370001,30.59352995
6/5/23,31.4,29.83,29.860001,,37.110001,31.370001,42.47786945
6/6/23,31.450001,29.700001,30.959999,,37.110001,31.370001,57.52213055
